#date,julian_day,pm10
2007-01-01,1,14.6667
2007-01-02,2,15.3333
2007-01-03,3,18.4167
2007-01-04,4,22.4167
2007-01-05,5,23.6250
2007-01-06,6,31.3750
2007-01-07,7,19.5417
2007-01-08,8,20.6250
2007-01-09,9,52.9583
2007-01-10,10,33.6250
2007-01-11,11,32.4167
2007-01-12,12,16.9583
2007-01-13,13,16.4583
2007-01-14,14,13.9130
2007-01-15,15,19.5833
2007-01-16,16,29.9583
2007-01-17,17,21.4167
2007-01-18,18,26.2917
2007-01-19,19,28.9167
2007-01-20,20,14.4167
2007-01-21,21,15.3043
2007-01-22,22,19.9167
2007-01-23,23,17.5417
2007-01-24,24,15.2500
2007-01-25,25,21.4167
2007-01-26,26,21.0417
2007-01-27,27,16.9583
2007-01-28,28,13.0000
2007-01-29,29,15.8333
2007-01-30,30,20.7500
2007-01-31,31,17.1667
2007-02-01,32,20.4167
2007-02-02,33,17.3750
2007-02-03,34,19.8333
2007-02-04,35,16.5000
2007-02-05,36,17.2917
2007-02-06,37,18.4167
2007-02-07,38,14.8261
2007-02-08,39,15.0000
2007-02-09,40,18.7917
2007-02-10,41,16.2500
2007-02-11,42,17.7500
2007-02-12,43,15.5417
2007-02-13,44,16.9583
2007-02-14,45,16.3333
2007-02-15,46,18.0000
2007-02-16,47,17.7083
2007-02-17,48,21.3333
2007-02-18,49,18.5000
2007-02-19,50,22.3750
2007-02-20,51,20.1250
2007-02-21,52,13.8333
2007-02-22,53,14.7917
2007-02-23,54,13.5417
2007-02-24,55,22.2083
2007-02-25,56,31.0000
2007-02-26,57,29.6250
2007-02-27,58,26.3750
2007-02-28,59,23.1250
2007-03-01,60,19.5417
2007-03-02,61,19.8261
2007-03-03,62,25.3750
2007-03-04,63,29.4167
2007-03-05,64,28.6250
2007-03-06,65,28.3333
2007-03-07,66,66.0833
2007-03-08,67,56.4583
2007-03-09,68,67.8750
2007-03-10,69,53.8333
2007-03-11,70,30.4583
2007-03-12,71,48.3333
2007-03-13,72,65.7500
2007-03-14,73,35.2083
2007-03-15,74,22.5833
2007-03-16,75,42.5833
2007-03-17,76,107.5000
2007-03-18,77,17.6250
2007-03-19,78,20.9583
2007-03-20,79,31.0000
2007-03-21,80,20.0833
2007-03-22,81,21.4583
2007-03-23,82,19.8333
2007-03-24,83,21.0000
2007-03-25,84,15.7500
2007-03-26,85,17.3750
2007-03-27,86,15.6667
2007-03-28,87,14.3333
2007-03-29,88,20.7917
2007-03-30,89,23.6667
2007-03-31,90,15.9583
2007-04-01,91,16.8333
2007-04-02,92,17.1538
2007-04-03,93,21.3846
2007-04-04,94,16.7083
2007-04-05,95,12.9583
2007-04-06,96,11.3750
2007-04-07,97,14.7083
2007-04-08,98,13.1667
2007-04-09,99,12.5000
2007-04-10,100,12.4583
2007-04-11,101,16.2083
2007-04-12,102,17.2917
2007-04-13,103,13.8750
2007-04-14,104,12.3333
2007-04-15,105,12.4583
2007-04-16,106,20.0833
2007-04-17,107,31.2917
2007-04-18,108,33.5000
2007-04-19,109,44.5000
2007-04-20,110,43.1667
2007-04-21,111,46.2917
2007-04-22,112,45.2917
2007-04-23,113,29.6250
2007-04-24,114,25.2083
2007-04-25,115,19.7083
2007-04-26,116,18.7391
2007-04-27,117,17.5833
2007-04-28,118,18.8333
2007-04-29,119,16.7083
2007-04-30,120,15.0417
2007-05-01,121,15.2500
2007-05-02,122,17.7083
2007-05-03,123,16.5000
2007-05-04,124,19.2083
2007-05-05,125,16.6667
2007-05-06,126,18.5000
2007-05-07,127,23.0000
2007-05-08,128,24.3750
2007-05-09,129,18.5417
2007-05-10,130,15.3913
2007-05-11,131,17.8333
2007-05-12,132,36.5000
2007-05-13,133,52.6667
2007-05-14,134,69.8750
2007-05-15,135,157.1667
2007-05-16,136,72.8333
2007-05-17,137,81.5833
2007-05-18,138,73.0000
2007-05-19,139,40.7273
2007-05-20,140,22.2000
2007-05-21,141,15.2667
2007-05-22,142,14.6250
2007-05-23,143,15.1667
2007-05-24,144,31.0000
2007-05-25,145,31.7500
2007-05-26,146,20.9167
2007-05-27,147,14.7500
2007-05-28,148,15.1667
2007-05-29,149,28.7500
2007-05-30,150,31.2917
2007-05-31,151,43.6250
2007-06-01,152,46.9583
2007-06-02,153,54.0833
2007-06-03,154,37.7083
2007-06-04,155,30.4583
2007-06-05,156,26.2917
2007-06-06,157,20.2917
2007-06-07,158,24.1667
2007-06-08,159,23.6250
2007-06-09,160,14.6250
2007-06-10,161,11.2500
2007-06-11,162,18.2500
2007-06-12,163,21.7500
2007-06-13,164,45.0833
2007-06-14,165,37.7917
2007-06-15,166,55.2083
2007-06-16,167,35.7500
2007-06-17,168,20.3750
2007-06-18,169,26.1250
2007-06-19,170,34.7917
2007-06-20,171,40.5833
2007-06-21,172,46.8333
2007-06-22,173,31.2500
2007-06-23,174,20.2917
2007-06-24,175,27.9583
2007-06-25,176,42.0000
2007-06-26,177,32.7500
2007-06-27,178,17.5417
2007-06-28,179,21.2083
2007-06-29,180,58.5833
2007-06-30,181,63.7083
2007-07-01,182,64.3750
2007-07-02,183,75.4783
2007-07-03,184,16.6957
2007-07-04,185,31.6957
2007-07-05,186,43.0870
2007-07-06,187,57.2727
2007-07-07,188,36.2083
2007-07-08,189,37.6522
2007-07-09,190,45.5217
2007-07-10,191,51.3478
2007-07-11,192,30.6957
2007-07-12,193,49.9565
2007-07-13,194,61.0435
2007-07-14,195,25.9565
2007-07-15,196,18.5909
2007-07-16,197,37.9565
2007-07-17,198,50.5217
2007-07-18,199,26.9375
2007-07-19,200,19.0870
2007-07-20,201,52.1739
2007-07-21,202,51.4348
2007-07-22,203,12.0870
2007-07-23,204,52.9565
2007-07-24,205,56.6522
2007-07-25,206,80.4783
2007-07-26,207,82.6957
2007-07-27,208,70.4783
2007-07-28,209,30.5217
2007-07-29,210,16.6522
2007-07-30,211,18.5714
2007-07-31,212,29.5000
2007-08-02,214,59.5714
2007-08-03,215,60.1176
2007-08-04,216,41.0870
2007-08-05,217,12.3043
2007-08-06,218,27.0000
2007-08-07,219,44.7391
2007-08-08,220,41.2609
2007-08-09,221,39.3913
2007-08-10,222,25.9565
2007-08-11,223,46.1250
2007-08-12,224,24.7391
2007-08-13,225,17.1739
2007-08-14,226,16.7391
2007-08-15,227,15.5217
2007-08-16,228,36.5455
2007-08-23,235,24.4615
2007-08-24,236,20.7826
2007-08-25,237,22.0435
2007-08-26,238,24.9130
2007-08-27,239,14.5217
2007-08-28,240,17.9583
2007-08-29,241,15.2609
2007-08-30,242,32.7391
2007-08-31,243,42.2174
2007-09-01,244,24.6957
2007-09-02,245,18.8261
2007-09-03,246,17.7391
2007-09-04,247,20.3478
2007-09-05,248,26.6522
2007-09-06,249,31.0435
2007-09-07,250,17.6087
2007-09-08,251,18.5652
2007-09-09,252,18.1304
2007-09-10,253,19.3684
2007-09-11,254,52.1739
2007-09-12,255,45.3043
2007-09-13,256,21.0000
2007-09-14,257,21.3571
2007-09-15,258,14.3000
2007-09-16,259,11.7143
2007-09-17,260,20.0000
2007-09-18,261,18.2727
2007-09-19,262,39.9333
2007-09-20,263,24.3333
2007-09-21,264,24.0000
2007-09-22,265,13.3478
2007-09-23,266,13.6000
2007-09-24,267,22.0000
2007-09-25,268,14.1111
2007-09-26,269,22.9000
2007-09-27,270,14.4783
2007-09-28,271,41.0000
2007-09-29,272,32.7391
2007-09-30,273,17.2174
2007-10-01,274,23.3913
2007-10-02,275,22.5652
2007-10-03,276,19.3913
2007-10-04,277,21.2609
2007-10-05,278,12.0000
2007-10-06,279,12.2609
2007-10-07,280,13.5217
2007-10-08,281,12.1739
2007-10-09,282,14.4348
2007-10-10,283,13.8696
2007-10-11,284,49.7273
2007-10-12,285,47.0870
2007-10-13,286,29.6522
2007-10-14,287,34.8696
2007-10-15,288,46.7826
2007-10-16,289,29.0000
2007-10-17,290,16.3913
2007-10-18,291,14.2143
2007-10-19,292,15.5833
2007-10-20,293,13.9167
2007-10-21,294,17.7083
2007-10-22,295,22.9583
2007-10-23,296,11.4167
2007-10-24,297,20.3333
2007-10-25,298,13.5000
2007-10-26,299,9.9167
2007-10-27,300,11.7083
2007-10-28,301,14.5000
2007-10-29,302,19.8750
2007-10-30,303,58.0417
2007-10-31,304,53.5417
2007-11-01,305,22.1667
2007-11-02,306,18.1250
2007-11-03,307,14.9167
2007-11-04,308,14.9167
2007-11-05,309,18.9000
2007-11-06,310,19.9565
2007-11-07,311,12.9565
2007-11-08,312,13.9565
2007-11-09,313,15.1739
2007-11-10,314,12.6087
2007-11-11,315,55.4348
2007-11-12,316,76.0000
2007-11-13,317,67.6522
2007-11-14,318,48.4783
2007-11-15,319,44.5652
2007-11-16,320,39.6522
2007-11-17,321,41.5217
2007-11-18,322,37.1739
2007-11-19,323,34.4783
2007-11-20,324,18.6957
2007-11-21,325,21.9130
2007-11-22,326,14.8696
2007-11-23,327,19.3478
2007-11-24,328,18.5217
2007-11-25,329,17.2609
2007-11-26,330,24.9583
2007-11-27,331,23.2174
2007-11-28,332,20.6522
2007-11-29,333,23.8696
2007-11-30,334,32.6522
2007-12-01,335,47.8667
2007-12-03,337,18.4615
2007-12-04,338,17.6087
2007-12-05,339,19.8696
2007-12-06,340,16.7391
2007-12-07,341,17.9565
2007-12-08,342,20.7826
2007-12-09,343,18.2609
2007-12-10,344,14.0435
2007-12-11,345,21.7273
2007-12-12,346,27.0435
2007-12-13,347,26.0000
2007-12-14,348,24.3913
2007-12-15,349,18.3913
2007-12-16,350,18.3478
2007-12-17,351,21.9130
2007-12-18,352,22.9565
2007-12-19,353,23.6087
2007-12-20,354,21.3478
2007-12-21,355,92.8333
2007-12-22,356,11.8333
2007-12-23,357,10.8261
2007-12-24,358,17.5652
2007-12-25,359,11.6087
2007-12-26,360,15.7391
2007-12-27,361,20.3478
2007-12-28,362,17.6522
2007-12-29,363,21.0435
2007-12-30,364,17.9565
2007-12-31,365,18.0000
