#date,julian_day,pm10
2008-01-01,1,16.4348
2008-01-02,2,15.4348
2008-01-03,3,21.5217
2008-01-04,4,17.1304
2008-01-05,5,24.2174
2008-01-06,6,20.4783
2008-01-07,7,17.0870
2008-01-08,8,21.0000
2008-01-09,9,24.6957
2008-01-10,10,31.1739
2008-01-11,11,21.6087
2008-01-12,12,14.0870
2008-01-13,13,21.7826
2008-01-14,14,31.9130
2008-01-15,15,27.7826
2008-01-16,16,16.1739
2008-01-17,17,18.7826
2008-01-18,18,18.6522
2008-01-19,19,17.8696
2008-01-20,20,13.2273
2008-01-21,21,16.8261
2008-01-22,22,23.2174
2008-01-23,23,24.8261
2008-01-24,24,20.3913
2008-01-25,25,16.6522
2008-01-26,26,17.0000
2008-01-27,27,16.9565
2008-01-28,28,14.9130
2008-01-29,29,25.3913
2008-01-30,30,21.2174
2008-01-31,31,23.7391
2008-02-01,32,26.2609
2008-02-02,33,20.5652
2008-02-03,34,31.1333
2008-02-14,45,25.2727
2008-02-15,46,23.6522
2008-02-16,47,18.9565
2008-02-17,48,17.6522
2008-02-18,49,17.4348
2008-02-19,50,23.8261
2008-02-20,51,18.8696
2008-02-21,52,20.1739
2008-02-22,53,21.2609
2008-02-23,54,18.9565
2008-02-24,55,15.4783
2008-02-25,56,17.5217
2008-02-26,57,16.3043
2008-02-27,58,15.9583
2008-02-28,59,16.5652
2008-02-29,60,21.2174
2008-03-01,61,17.1739
2008-03-02,62,19.5652
2008-03-03,63,18.1739
2008-03-04,64,16.1739
2008-03-05,65,22.0870
2008-03-06,66,23.3913
2008-03-07,67,24.2609
2008-03-08,68,23.1739
2008-03-09,69,18.3478
2008-03-10,70,26.5652
2008-03-11,71,24.3478
2008-03-12,72,15.1739
2008-03-13,73,18.3478
2008-03-14,74,15.5217
2008-03-15,75,12.9130
2008-03-16,76,12.6957
2008-03-17,77,18.7917
2008-03-18,78,15.6522
2008-03-19,79,29.0870
2008-03-20,80,25.6522
2008-03-21,81,21.0435
2008-03-22,82,19.5217
2008-03-23,83,19.8261
2008-03-24,84,17.6957
2008-03-25,85,16.3913
2008-03-26,86,21.8636
2008-03-27,87,21.5652
2008-03-28,88,20.0000
2008-03-29,89,20.5217
2008-03-30,90,16.9130
2008-03-31,91,16.4348
2008-04-01,92,16.2174
2008-04-02,93,21.0000
2008-04-03,94,16.3043
2008-04-04,95,22.4348
2008-04-05,96,21.4783
2008-04-06,97,17.4783
2008-04-07,98,20.3043
2008-04-08,99,16.6522
2008-04-09,100,17.9545
2008-04-10,101,18.1739
2008-04-11,102,19.3043
2008-04-12,103,17.2174
2008-04-13,104,14.3478
2008-04-14,105,20.3913
2008-04-15,106,16.0870
2008-04-16,107,22.8261
2008-04-17,108,22.8696
2008-04-18,109,19.0870
2008-04-19,110,19.0000
2008-04-20,111,13.8696
2008-04-21,112,33.3913
2008-04-22,113,48.9130
2008-04-23,114,48.1304
2008-04-24,115,44.6087
2008-04-25,116,43.9565
2008-04-26,117,47.2609
2008-04-27,118,46.1304
2008-04-28,119,31.1304
2008-04-29,120,28.8696
2008-04-30,121,21.6087
2008-05-01,122,15.5217
2008-05-02,123,16.0870
2008-05-03,124,15.7391
2008-05-04,125,12.1304
2008-05-05,126,21.6667
2008-05-06,127,59.4545
2008-05-07,128,113.0870
2008-05-08,129,114.8696
2008-05-09,130,105.6087
2008-05-10,131,39.0000
2008-05-11,132,29.6087
2008-05-12,133,25.3043
2008-05-13,134,30.3913
2008-05-14,135,21.0000
2008-05-15,136,22.0870
2008-05-16,137,18.8261
2008-05-17,138,20.3913
2008-05-18,139,25.8696
2008-05-19,140,28.0870
2008-05-20,141,15.1739
2008-05-21,142,18.7826
2008-05-22,143,17.0000
