#date,julian_day,pm10
2011-01-01,1,13.5833
2011-01-02,2,16.0833
2011-01-03,3,9.1667
2011-01-04,4,8.4167
2011-01-05,5,14.0417
2011-01-06,6,16.4167
2011-01-07,7,28.5417
2011-01-08,8,18.7083
2011-01-09,9,21.7500
2011-01-10,10,22.5417
2011-01-11,11,20.8750
2011-01-12,12,25.5417
2011-01-13,13,37.8333
2011-01-14,14,26.1250
2011-01-15,15,15.5417
2011-01-16,16,17.7500
2011-01-17,17,18.7083
2011-01-18,18,20.5000
2011-01-19,19,13.5000
2011-01-20,20,15.4167
2011-01-21,21,18.7500
2011-01-22,22,16.3333
2011-01-23,23,17.7917
2011-01-24,24,13.0417
2011-01-25,25,15.2500
2011-01-26,26,15.6250
2011-01-27,27,15.7083
2011-01-28,28,17.3333
2011-01-29,29,16.8750
2011-01-30,30,11.3750
2011-01-31,31,11.4583
2011-02-01,32,13.2500
2011-02-02,33,13.2083
2011-02-03,34,12.8750
2011-02-04,35,12.3333
2011-02-05,36,15.5238
2011-02-06,37,13.2500
2011-02-07,38,19.2917
2011-02-08,39,18.2174
2011-02-09,40,22.9167
2011-02-10,41,21.8333
2011-02-11,42,21.2083
2011-02-12,43,20.6667
2011-02-13,44,13.4583
2011-02-14,45,15.0000
2011-02-15,46,19.4583
2011-02-16,47,16.3750
2011-02-17,48,15.7917
2011-02-18,49,19.0833
2011-02-19,50,21.1667
2011-02-20,51,17.1667
2011-02-21,52,17.6250
2011-02-22,53,21.0833
2011-02-23,54,24.2917
2011-02-24,55,18.7917
2011-02-25,56,19.3333
2011-02-26,57,21.9583
2011-02-27,58,18.1250
2011-02-28,59,18.8750
2011-03-01,60,17.7083
2011-03-02,61,10.7083
2011-03-03,62,13.2917
2011-03-04,63,21.4167
2011-03-05,64,35.0417
2011-03-06,65,22.0417
2011-03-07,66,17.1250
2011-03-08,67,10.2083
2011-03-09,68,12.8333
2011-03-10,69,15.7083
2011-03-11,70,19.5417
2011-03-12,71,12.2083
