#date,julian_day,pm10
2009-01-01,1,16.5652
2009-01-02,2,17.6522
2009-01-03,3,16.2174
2009-01-04,4,17.1739
2009-01-05,5,20.2609
2009-01-06,6,19.9130
2009-01-07,7,14.9130
2009-01-08,8,17.4348
2009-01-09,9,20.1739
2009-01-10,10,16.8261
2009-01-11,11,17.9130
2009-01-12,12,20.8696
2009-01-13,13,22.7826
2009-01-14,14,22.3913
2009-01-15,15,23.1250
2009-01-16,16,13.3750
2009-01-17,17,14.0000
2009-01-18,18,22.7917
2009-01-19,19,18.2174
2009-01-20,20,14.0435
2009-01-21,21,20.5652
2009-01-22,22,21.5238
2009-01-23,23,18.5455
2009-01-24,24,14.1304
2009-01-25,25,15.6957
2009-01-26,26,17.0000
2009-01-27,27,16.1304
2009-01-28,28,18.3043
2009-01-29,29,19.5217
2009-01-30,30,17.8261
2009-01-31,31,16.1304
2009-02-01,32,12.9565
2009-02-02,33,15.2174
2009-02-03,34,18.9565
2009-02-04,35,24.7500
2009-02-05,36,17.0000
2009-02-06,37,16.1667
2009-02-07,38,17.8750
2009-02-08,39,15.7391
2009-02-09,40,18.0870
2009-02-10,41,14.6957
2009-02-11,42,12.7391
2009-02-12,43,20.0870
2009-02-13,44,19.7826
2009-02-14,45,13.0870
2009-02-15,46,19.4783
2009-02-16,47,29.9565
2009-02-17,48,45.6522
2009-02-18,49,17.4348
2009-02-19,50,18.4783
2009-02-20,51,18.9130
2009-02-21,52,23.7826
2009-02-22,53,21.8261
2009-02-23,54,21.9583
2009-02-24,55,23.0000
2009-02-25,56,19.2174
2009-02-26,57,17.0435
2009-02-27,58,17.6957
2009-02-28,59,17.8261
2009-03-01,60,13.5652
2009-03-02,61,12.6957
2009-03-03,62,14.7826
2009-03-04,63,16.7391
2009-03-05,64,21.2609
2009-03-06,65,21.3333
2009-03-07,66,19.8636
2009-03-08,67,28.0870
2009-03-09,68,29.9565
2009-03-10,69,33.3043
2009-03-11,70,25.7333
2009-03-12,71,22.5455
2009-03-13,72,21.6522
2009-03-14,73,23.0870
2009-03-15,74,14.1304
2009-03-16,75,15.0000
2009-03-17,76,21.3043
2009-03-18,77,19.6957
2009-03-19,78,16.0000
2009-03-20,79,16.8333
2009-03-21,80,18.0000
2009-03-22,81,18.9167
2009-03-23,82,20.6667
2009-03-24,83,16.3750
2009-03-25,84,13.2917
2009-03-26,85,19.0417
2009-03-27,86,25.0417
2009-03-28,87,22.8750
2009-03-29,88,17.8750
2009-03-30,89,19.0417
2009-03-31,90,16.4167
2009-04-01,91,22.7000
2009-04-02,92,12.8750
2009-04-03,93,12.2917
2009-04-04,94,11.0435
2009-04-05,95,12.1250
2009-04-06,96,13.3750
2009-04-07,97,14.5417
2009-04-08,98,18.5833
2009-04-09,99,12.4167
2009-04-10,100,14.3333
2009-04-11,101,16.5833
2009-04-12,102,16.3333
2009-04-13,103,16.6250
2009-04-14,104,14.4583
2009-04-15,105,17.7917
2009-04-16,106,17.7917
2009-04-17,107,18.7083
2009-04-18,108,16.6250
2009-04-19,109,11.2174
2009-04-20,110,12.9583
2009-04-21,111,18.0833
2009-04-22,112,19.7273
2009-04-23,113,24.5714
2009-04-24,114,11.6429
2009-04-25,115,16.3333
2009-04-26,116,16.0417
2009-04-27,117,15.7917
2009-04-28,118,18.2500
2009-04-29,119,19.7917
2009-04-30,120,18.8750
2009-05-01,121,14.4167
2009-05-02,122,24.2083
2009-05-03,123,17.0000
2009-05-04,124,21.5417
2009-05-05,125,18.1250
2009-05-06,126,24.7917
2009-05-07,127,25.2083
2009-05-08,128,32.0833
2009-05-09,129,40.7500
2009-05-10,130,21.9167
2009-05-11,131,15.7500
2009-05-12,132,17.2917
2009-05-13,133,17.4167
2009-05-14,134,16.1667
2009-05-15,135,21.7500
2009-05-16,136,19.2917
2009-05-17,137,14.6250
2009-05-18,138,31.5417
2009-05-19,139,40.5000
2009-05-20,140,30.5000
2009-05-21,141,23.2500
2009-05-22,142,32.5417
2009-05-23,143,33.4583
2009-05-24,144,22.3333
2009-05-25,145,25.6250
2009-05-26,146,40.0833
2009-05-27,147,46.5833
2009-05-28,148,45.0833
2009-05-29,149,24.2174
2009-05-30,150,12.6364
2009-05-31,151,18.6000
2009-06-01,152,34.1111
2009-06-02,153,21.5714
2009-06-03,154,26.3750
2009-06-04,155,14.1739
2009-06-05,156,16.7917
2009-06-06,157,22.9167
2009-06-07,158,48.4167
2009-06-08,159,64.0417
2009-06-09,160,29.9583
2009-06-10,161,19.0000
2009-06-11,162,14.5417
2009-06-12,163,25.5833
2009-06-13,164,42.8333
2009-06-14,165,27.6364
2009-06-15,166,21.4000
2009-06-16,167,14.7857
2009-06-17,168,15.9167
2009-06-18,169,16.4583
2009-06-19,170,17.7917
2009-06-20,171,15.4167
2009-06-21,172,13.2273
2009-06-22,173,13.9130
2009-06-23,174,16.5000
2009-06-24,175,27.9583
2009-06-25,176,123.7500
2009-06-26,177,112.4583
2009-06-27,178,78.7500
2009-06-28,179,83.6667
2009-06-29,180,54.9167
2009-06-30,181,19.2500
2009-07-01,182,52.2917
2009-07-02,183,48.5417
2009-07-03,184,50.7500
2009-07-04,185,35.7083
2009-07-05,186,65.0000
2009-07-06,187,49.7500
2009-07-07,188,26.7083
2009-07-08,189,20.7500
2009-07-09,190,44.5000
2009-07-10,191,41.4167
2009-07-11,192,33.5833
2009-07-12,193,14.7500
2009-07-13,194,38.9167
2009-07-14,195,39.6667
2009-07-15,196,55.9583
2009-07-16,197,20.7083
