#date,julian_day,pm10
2005-01-01,1,13.2500
2005-01-02,2,10.5652
2005-01-03,3,15.8750
2005-01-04,4,18.1250
2005-01-05,5,17.4583
2005-01-06,6,15.9583
2005-01-07,7,17.2917
2005-01-08,8,13.4583
2005-01-09,9,12.0000
2005-01-10,10,27.4583
2005-01-11,11,33.5000
2005-01-12,12,38.9583
2005-01-13,13,49.5417
2005-01-14,14,35.5000
2005-01-15,15,31.2083
2005-01-16,16,20.2083
2005-01-17,17,29.7917
2005-01-18,18,28.5833
2005-01-19,19,28.6087
2005-01-20,20,15.8333
2005-01-21,21,24.7826
2005-01-22,22,17.2917
2005-01-23,23,16.1667
2005-01-24,24,19.8750
2005-01-25,25,25.3750
2005-01-26,26,18.3333
2005-01-27,27,16.5652
2005-01-28,28,29.3750
2005-01-29,29,14.7727
2005-01-30,30,16.0667
2005-01-31,31,29.1538
2005-02-01,32,26.9583
2005-02-02,33,25.0000
2005-02-03,34,28.9167
2005-02-04,35,22.4167
2005-02-05,36,24.9167
2005-02-06,37,22.5833
2005-02-07,38,16.1250
2005-02-08,39,16.1364
2005-02-09,40,14.5000
2005-02-10,41,19.8333
2005-02-11,42,13.2917
2005-02-12,43,10.2083
2005-02-13,44,9.8261
2005-02-14,45,18.5833
2005-02-15,46,14.4583
2005-02-16,47,14.0000
2005-02-17,48,15.0833
2005-02-18,49,20.5417
2005-02-19,50,19.5417
2005-02-20,51,15.2083
2005-02-21,52,15.9583
2005-02-22,53,22.7500
2005-02-23,54,23.6190
2005-02-24,55,18.4167
2005-02-25,56,13.3913
2005-02-26,57,17.2917
2005-02-27,58,19.1579
2005-02-28,59,17.8000
2005-03-01,60,19.9167
2005-03-02,61,30.8889
2005-03-03,62,24.0000
2005-03-04,63,18.5000
2005-03-05,64,20.2609
2005-03-06,65,14.6250
2005-03-07,66,22.0833
2005-03-08,67,29.7500
2005-03-09,68,26.2917
2005-03-10,69,29.5217
2005-03-11,70,21.7500
2005-03-12,71,18.0833
2005-03-13,72,13.0000
2005-03-14,73,17.7917
2005-03-15,74,22.9167
2005-03-16,75,21.7500
2005-03-17,76,21.2500
2005-03-18,77,20.4583
2005-03-19,78,18.4583
2005-03-20,79,15.4783
2005-03-21,80,18.8750
2005-03-22,81,24.6250
2005-03-23,82,19.6667
2005-03-24,83,22.6667
2005-03-25,84,20.8333
2005-03-26,85,21.5217
2005-03-27,86,17.1250
2005-03-28,87,16.2500
2005-03-29,88,19.6667
2005-03-30,89,17.2174
2005-03-31,90,29.3333
2005-04-01,91,42.5000
2005-04-04,94,40.2667
2005-04-05,95,40.6250
2005-04-06,96,28.7500
2005-04-07,97,18.1667
2005-04-08,98,31.5417
2005-04-09,99,32.4167
2005-04-10,100,32.3333
2005-04-11,101,43.7083
2005-04-12,102,45.6250
2005-04-13,103,40.7083
2005-04-14,104,56.0909
2005-04-15,105,40.6667
2005-04-16,106,23.7083
2005-04-17,107,15.9167
2005-04-18,108,18.4583
2005-04-19,109,16.4583
2005-04-20,110,20.3750
