#date,julian_day,pm10
2010-01-01,1,16.0417
2010-01-02,2,20.4167
2010-01-03,3,12.2500
2010-01-04,4,16.8333
2010-01-05,5,28.1250
2010-01-06,6,35.8750
2010-01-07,7,33.1250
2010-01-08,8,21.5833
2010-01-09,9,14.2083
2010-01-10,10,14.7917
2010-01-11,11,15.7083
2010-01-12,12,14.0833
2010-01-13,13,17.7500
2010-01-14,14,21.3750
2010-01-15,15,16.9583
2010-01-16,16,13.4583
2010-01-17,17,15.1667
2010-01-18,18,16.4167
2010-01-19,19,16.8750
2010-01-20,20,16.7500
2010-01-21,21,13.8750
2010-01-22,22,12.6250
2010-01-23,23,20.3333
2010-01-24,24,24.5000
2010-01-25,25,14.0000
2010-01-26,26,17.2917
2010-01-27,27,18.9583
2010-01-28,28,17.9583
2010-01-29,29,16.0000
2010-01-30,30,20.5000
2010-01-31,31,23.6667
2010-02-01,32,15.0000
2010-02-02,33,19.9286
2010-02-03,34,20.1250
2010-02-04,35,20.5000
2010-02-05,36,27.5000
2010-02-06,37,14.4583
2010-02-07,38,14.9167
2010-02-08,39,19.5417
2010-02-09,40,39.0417
2010-02-10,41,46.9583
2010-02-11,42,80.3333
2010-02-12,43,150.1304
2010-02-13,44,164.3750
2010-02-14,45,60.1667
2010-02-15,46,50.5000
2010-02-16,47,33.9167
2010-02-17,48,20.6250
2010-02-18,49,23.4583
2010-02-19,50,20.5833
2010-02-20,51,16.0417
2010-02-21,52,16.2083
2010-02-22,53,20.0833
2010-02-23,54,20.9167
2010-02-24,55,22.6842
2010-02-25,56,28.2083
2010-02-26,57,38.2083
2010-02-27,58,28.5833
2010-02-28,59,20.1250
2010-03-01,60,40.5263
2010-03-02,61,51.9583
2010-03-03,62,50.4583
2010-03-04,63,51.1667
2010-03-05,64,38.6667
2010-03-06,65,43.0833
2010-03-07,66,40.8750
2010-03-08,67,21.9583
2010-03-09,68,27.6667
2010-03-10,69,55.3750
2010-03-11,70,52.9583
2010-03-12,71,17.7500
2010-03-13,72,28.8333
2010-03-14,73,24.1667
2010-03-15,74,45.1250
2010-03-16,75,55.0833
2010-03-17,76,70.0000
2010-03-18,77,61.1667
2010-03-19,78,61.4167
2010-03-20,79,31.0833
2010-03-21,80,28.4583
2010-03-22,81,28.0833
2010-03-23,82,27.7083
2010-03-24,83,21.5000
2010-03-25,84,18.5417
2010-03-26,85,15.8750
2010-03-27,86,13.0000
2010-03-28,87,10.6522
2010-03-29,88,16.5833
2010-03-30,89,26.4167
2010-03-31,90,70.7917
2010-04-01,91,52.1250
2010-04-09,99,18.1667
2010-04-10,100,21.1667
2010-04-11,101,19.5833
2010-04-12,102,16.3182
2010-04-13,103,18.2500
2010-04-14,104,20.5833
2010-04-15,105,29.5417
2010-04-16,106,14.7917
2010-04-17,107,16.3333
2010-04-18,108,16.0833
2010-04-19,109,21.2500
2010-04-20,110,19.4583
2010-04-21,111,14.5833
2010-04-22,112,15.3333
2010-04-23,113,14.1250
2010-04-24,114,13.2917
2010-04-25,115,14.0000
2010-04-26,116,35.9583
2010-04-27,117,73.1250
2010-04-28,118,94.2083
2010-04-29,119,50.0833
2010-04-30,120,19.8333
2010-05-01,121,16.5652
2010-05-02,122,17.5833
2010-05-03,123,18.4167
2010-05-04,124,19.4583
2010-05-05,125,21.3750
2010-05-06,126,15.9167
2010-05-07,127,22.7727
2010-05-08,128,19.7500
2010-05-09,129,21.9167
2010-05-10,130,18.5263
2010-05-11,131,13.3333
2010-05-12,132,16.8333
2010-05-13,133,16.9583
2010-05-14,134,21.7500
2010-05-15,135,19.5833
2010-05-16,136,19.2500
2010-05-17,137,18.9583
2010-05-18,138,24.5833
2010-05-19,139,22.9583
2010-05-20,140,29.3333
2010-05-21,141,23.9167
2010-05-22,142,30.9167
2010-05-23,143,34.2500
2010-05-24,144,51.3333
2010-05-25,145,67.2500
2010-05-26,146,76.7500
2010-05-27,147,85.4583
2010-05-28,148,44.9583
2010-05-29,149,26.0417
2010-05-30,150,30.0417
2010-05-31,151,81.5000
2010-06-01,152,104.3750
2010-06-02,153,97.9583
2010-06-03,154,103.3333
2010-06-04,155,30.0417
2010-06-05,156,18.1667
2010-06-06,157,31.8333
2010-06-07,158,41.5000
2010-06-08,159,51.6250
2010-06-09,160,58.5000
2010-06-10,161,54.4167
2010-06-11,162,20.4583
2010-06-12,163,21.5000
2010-06-13,164,32.3333
2010-06-14,165,11.2083
2010-06-15,166,14.4583
2010-06-16,167,22.1304
2010-06-17,168,25.9583
2010-06-18,169,14.0000
2010-06-19,170,22.4167
2010-06-20,171,19.2083
2010-06-21,172,26.3333
2010-06-22,173,34.7083
2010-06-23,174,33.4167
2010-06-24,175,34.3333
2010-06-25,176,19.6667
2010-06-26,177,14.4167
2010-06-27,178,27.4583
2010-06-28,179,49.8333
2010-06-29,180,19.9167
2010-06-30,181,33.9167
2010-07-01,182,63.0000
2010-07-02,183,60.9167
2010-07-03,184,44.7083
2010-07-04,185,26.2500
2010-07-05,186,33.7917
2010-07-06,187,71.7917
2010-07-07,188,70.0000
2010-07-08,189,37.5417
2010-07-09,190,33.6667
2010-07-10,191,44.0833
2010-07-11,192,20.0000
2010-07-12,193,24.9167
2010-07-13,194,42.2500
2010-07-14,195,55.2174
2010-07-15,196,38.0000
2010-07-16,197,36.7917
2010-07-17,198,37.7083
2010-07-18,199,25.0833
2010-07-19,200,18.9167
2010-07-20,201,16.4167
2010-07-21,202,19.2083
2010-07-22,203,34.8750
2010-07-23,204,31.5000
2010-07-24,205,32.0000
2010-07-25,206,54.4167
2010-07-26,207,30.1250
2010-07-27,208,19.2917
2010-07-28,209,22.0833
2010-07-29,210,42.3333
2010-07-30,211,38.6667
2010-07-31,212,27.1667
2010-08-01,213,22.7391
2010-08-02,214,23.1667
2010-08-03,215,29.7500
2010-08-04,216,24.8333
2010-08-05,217,21.9167
2010-08-06,218,46.4583
2010-08-07,219,23.0000
2010-08-08,220,4.0000
2010-08-09,221,9.2143
2010-08-10,222,10.1250
2010-08-11,223,12.9167
2010-08-12,224,21.8750
2010-08-13,225,26.1250
2010-08-14,226,19.7083
2010-08-15,227,14.6667
2010-08-16,228,14.5417
2010-08-17,229,42.5833
2010-08-18,230,90.0417
2010-08-19,231,59.0000
2010-08-20,232,29.3750
2010-08-21,233,22.1250
2010-08-22,234,20.7917
2010-08-23,235,43.0417
2010-08-24,236,78.9583
2010-08-25,237,14.7500
2010-08-26,238,37.5833
2010-08-27,239,31.1250
2010-08-28,240,21.9583
2010-08-29,241,26.2000
2010-09-01,244,23.3636
2010-09-02,245,53.2083
2010-09-03,246,54.5000
2010-09-04,247,29.2083
2010-09-05,248,19.7500
2010-09-06,249,18.7500
2010-09-07,250,19.2500
2010-09-08,251,18.4583
2010-09-09,252,21.6250
2010-09-10,253,16.8750
2010-09-11,254,12.4583
2010-09-12,255,13.5417
2010-09-13,256,20.9583
2010-09-14,257,25.7917
2010-09-15,258,26.2083
2010-09-16,259,22.6667
2010-09-17,260,24.8750
2010-09-18,261,19.8750
2010-09-19,262,15.0000
2010-09-20,263,29.9167
2010-09-21,264,79.5000
2010-09-22,265,30.1250
2010-09-23,266,21.0833
2010-09-24,267,19.2917
2010-09-25,268,12.9583
2010-09-26,269,15.5217
2010-09-27,270,11.7500
2010-09-28,271,15.8333
2010-09-29,272,17.1667
2010-09-30,273,14.6250
2010-10-01,274,23.6250
2010-10-02,275,14.5000
2010-10-03,276,14.3333
2010-10-04,277,13.0833
2010-10-05,278,17.0417
2010-10-06,279,22.9565
2010-10-07,280,21.9583
2010-10-08,281,19.8750
2010-10-09,282,31.7500
2010-10-10,283,15.6667
2010-10-11,284,21.5833
2010-10-12,285,25.8750
2010-10-13,286,23.5000
2010-10-14,287,19.2500
2010-10-15,288,17.3333
2010-10-16,289,17.5833
2010-10-17,290,17.8333
2010-10-18,291,17.9583
2010-10-19,292,12.4167
2010-10-20,293,16.7917
2010-10-21,294,15.0000
2010-10-22,295,20.9231
2010-10-25,298,13.2308
2010-10-26,299,16.7083
2010-10-27,300,18.2083
2010-10-28,301,14.0000
2010-10-29,302,16.7083
2010-10-30,303,20.8333
2010-10-31,304,17.7917
2010-11-01,305,18.0000
2010-11-02,306,34.1667
2010-11-03,307,41.2083
2010-11-04,308,22.0833
2010-11-05,309,24.1667
2010-11-06,310,19.5000
2010-11-07,311,15.0833
2010-11-08,312,14.2500
2010-11-09,313,16.0833
2010-11-10,314,11.0417
2010-11-11,315,13.2917
2010-11-12,316,15.3750
2010-11-13,317,17.6250
2010-11-14,318,18.2500
2010-11-15,319,17.7083
2010-11-16,320,16.9583
2010-11-17,321,14.3750
2010-11-18,322,12.0833
2010-11-19,323,15.1667
2010-11-20,324,16.2500
2010-11-21,325,15.0000
2010-11-22,326,15.4167
2010-11-23,327,16.3333
2010-11-24,328,20.2917
2010-11-25,329,16.6667
2010-11-26,330,16.0000
2010-11-27,331,14.8333
2010-11-28,332,14.5417
