#year,month,day,julian_day,pm10,aot1020
2012,10,27,301,12,0.083492
2012,10,28,302,15,0.037648
2012,10,29,303,22,0.027744
2012,10,30,304,12,0.065044
2012,10,31,305,15,0.043965
2012,11,1,306,13,0.138846
2012,11,2,307,19,0.083007
2012,11,3,308,9,0.040972
2012,11,4,309,12,0.027167
2012,11,5,310,9,0.033097
2012,11,6,311,12,0.034272
2012,11,7,312,16,0.047057
2012,11,8,313,12,0.036119
2012,11,9,314,12,0.041838
2012,11,10,315,23,0.035991
2012,11,11,316,10,0.462312
2012,11,13,318,8,0.256565
2012,11,14,319,19,0.239531
2012,11,15,320,18,0.045216
2012,11,16,321,12,0.025473
2012,11,17,322,11,0.055469
2012,11,18,323,16,0.065008
2012,11,19,324,12,0.045949
2012,11,20,325,15,0.045948
