#year,month,day,julian_day,aot1020
2009,3,14,73,0.072302
2009,3,16,75,0.017284
2009,3,17,76,0.065493
2009,3,18,77,0.049463
2009,3,19,78,0.047492
2009,3,20,79,0.036036
2009,3,21,80,0.064056
2009,3,31,90,0.061659
2009,4,1,91,0.052203
2009,4,5,95,0.028319
2009,4,6,96,0.026126
2009,4,7,97,0.022263
2009,4,8,98,0.048235
2009,4,10,100,0.075035
2009,4,11,101,0.039804
2009,4,12,102,0.056792
2009,4,14,104,0.049554
2009,4,15,105,0.046466
2009,4,16,106,0.065975
2009,4,17,107,0.049273
2009,4,26,116,0.076349
2009,4,28,118,0.070149
2009,4,29,119,0.105581
2009,5,11,131,0.063367
2009,5,13,133,0.068643
2009,5,15,135,0.090586
2009,5,21,141,0.096020
2009,5,24,144,0.108165
2009,5,25,145,0.109708
2009,5,26,146,0.267440
2009,5,27,147,0.335214
2009,5,28,148,0.329931
2009,5,31,151,0.047640
2009,6,1,152,0.101949
2009,6,3,154,0.104735
2009,6,4,155,0.050841
2009,6,5,156,0.050199
2009,6,7,158,0.317810
2009,6,8,159,0.364985
2009,6,9,160,0.268256
2009,6,10,161,0.148029
2009,6,12,163,0.101731
2009,6,13,164,0.275082
2009,6,14,165,0.157331
2009,6,19,170,0.104700
2009,6,20,171,0.086436
2009,6,22,173,0.065437
2009,6,26,177,0.639598
2009,6,27,178,0.389152
2009,6,28,179,0.391719
2009,6,29,180,0.183822
2009,6,30,181,0.061778
2009,7,1,182,0.124656
2009,7,2,183,0.381032
2009,7,7,188,0.094804
2009,7,8,189,0.072214
2009,7,9,190,0.132723
2009,7,10,191,0.356183
2009,7,12,193,0.056391
2009,7,13,194,0.271872
2009,7,16,197,0.076145
2009,7,17,198,0.164820
2009,7,20,201,0.253845
2009,7,23,204,0.450840
2010,5,2,122,0.041845
2010,5,4,124,0.096888
2010,5,5,125,0.073306
2010,5,6,126,0.008502
2010,5,7,127,0.056124
2010,5,8,128,0.041368
2010,5,9,129,0.043613
2010,5,18,138,0.090157
2010,5,19,139,0.077679
2010,5,21,141,0.090629
2010,5,22,142,0.105423
2010,5,23,143,0.154822
2010,5,25,145,0.328190
2010,5,26,146,0.303305
2010,5,30,150,0.073280
2010,5,31,151,0.574663
2010,6,2,153,0.683340
2010,6,3,154,0.657242
2010,6,5,156,0.050793
2010,6,6,157,0.042070
2010,6,7,158,0.081991
2010,6,8,159,0.324556
2010,6,12,163,0.060398
2010,6,13,164,0.066400
2010,6,14,165,0.026796
2010,6,15,166,0.033369
2010,6,16,167,0.109860
2010,6,17,168,0.064513
2010,6,20,171,0.075650
2010,6,21,172,0.071053
2010,6,22,173,0.148985
2010,6,27,178,0.148998
2010,6,28,179,0.254584
2010,7,6,187,0.510499
2010,7,7,188,0.431272
2010,7,8,189,0.121144
2010,7,9,190,0.146300
2010,7,12,193,0.131003
2010,7,14,195,0.343829
2010,7,15,196,0.245111
2010,7,16,197,0.231042
2010,7,23,204,0.118117
2010,7,24,205,0.199591
2010,7,25,206,0.176908
2010,7,26,207,0.171760
2010,7,27,208,0.021335
2010,7,31,212,0.161907
2010,8,1,213,0.051173
2010,8,2,214,0.073263
2010,8,3,215,0.279483
2010,8,4,216,0.108639
2010,8,5,217,0.143611
2010,8,6,218,0.247071
2010,8,7,219,0.068711
2010,8,9,221,0.040910
2010,8,10,222,0.055761
2010,8,11,223,0.012887
2010,8,12,224,0.089614
2010,8,13,225,0.071718
2010,8,14,226,0.026752
2010,8,15,227,0.030005
2010,8,17,229,0.280698
2010,8,18,230,0.442421
2010,8,19,231,0.329816
2010,8,20,232,0.116606
2010,9,2,245,0.246258
2010,9,3,246,0.393173
2010,9,4,247,0.045043
2010,9,5,248,0.043665
2010,9,6,249,0.036068
2010,9,7,250,0.031850
2010,9,12,255,0.040252
2010,9,13,256,0.027086
2010,9,14,257,0.006394
2010,9,15,258,0.096823
2010,9,18,261,0.092765
2010,9,21,264,0.556495
2010,9,22,265,0.195358
2010,9,23,266,0.068805
2010,9,24,267,0.053483
2010,9,27,270,0.004916
2010,9,28,271,0.060866
2012,1,1,1,0.095548
2012,1,2,2,0.116732
2012,1,3,3,0.115765
2012,1,4,4,0.063212
2012,1,5,5,0.045568
2012,1,6,6,0.047148
2012,1,7,7,0.062444
2012,1,8,8,0.066855
2012,1,9,9,0.085050
2012,1,12,12,0.042642
2012,1,13,13,0.066157
2012,1,16,16,0.058662
