2012,1,1,1,18,0.095548
2012,1,2,2,20,0.116732
2012,1,3,3,26,0.115765
2012,1,4,4,18,0.063212
2012,1,5,5,12,0.045568
2012,1,6,6,17,0.047148
2012,1,7,7,18,0.062444
2012,1,8,8,12,0.066855
2012,1,9,9,15,0.085050
2012,1,12,12,15,0.042642
2012,1,13,13,17,0.066157
2012,1,16,16,19,0.058662
2012,1,17,17,12,0.060036
2012,1,18,18,13,0.043408
2012,1,19,19,18,0.046752
2012,1,20,20,20,0.062436
2012,1,21,21,13,0.045426
2012,1,22,22,13,0.041474
2012,1,23,23,15,0.028088
2012,1,25,25,10,0.017700
2012,1,26,26,8,0.033356
2012,1,27,27,13,0.046532
2012,1,28,28,16,0.055249
2012,1,29,29,18,0.074678
2012,1,31,31,17,0.076075
2012,2,2,33,21,0.078634
2012,2,4,35,14,0.054399
2012,2,5,36,14,0.055187
2012,2,6,37,17,0.061872
2012,2,9,40,17,0.057570
2012,2,12,43,16,0.050733
2012,2,13,44,13,0.025468
2012,2,14,45,15,0.031293
2012,2,15,46,15,0.065226
2012,2,16,47,18,0.067842
2012,2,17,48,20,0.047033
2012,2,18,49,9,0.016279
2012,2,19,50,12,0.025088
2012,2,20,51,9,0.021204
2012,2,23,54,15,0.059260
2012,2,24,55,17,0.057065
2012,2,25,56,20,0.079495
2012,2,26,57,17,0.088657
2012,3,2,62,15,0.097036
2012,3,4,64,19,0.090781
2012,3,5,65,18,0.079124
2012,3,6,66,35,0.123015
2012,3,7,67,40,0.147411
2012,3,8,68,25,0.079743
2012,3,13,73,12,0.058405
2012,3,16,76,34,0.108957
2012,4,10,101,14,0.044114
2012,4,11,102,19,0.061873
2012,4,12,103,16,0.078655
2012,4,13,104,18,0.074537
2012,4,14,105,13,0.047846
2012,4,20,111,8,0.023900
2012,4,22,113,10,0.052600
2012,4,23,114,21,0.080487
2012,4,28,119,20,0.056860
2012,4,29,120,15,0.077056
2012,4,30,121,19,0.075458
2012,5,12,133,85,0.518777
2012,5,14,135,30,0.207512
2012,5,15,136,15,0.081803
2012,5,18,139,46,0.171523
2012,5,19,140,23,0.218528
2012,5,20,141,31,0.144916
2012,5,21,142,31,0.192118
2012,5,22,143,43,0.167606
2012,5,23,144,48,0.151757
2012,5,24,145,25,0.101137
2012,5,25,146,24,0.099780
2012,5,26,147,14,0.092048
2012,5,27,148,14,0.052241
2012,5,28,149,31,0.133731
2012,5,29,150,33,0.209570
2012,6,1,153,67,0.405520
2012,6,3,155,66,0.383290
2012,6,5,157,19,0.059391
2012,6,6,158,36,0.194744
2012,6,7,159,46,0.306985
2012,6,8,160,38,0.300239
2012,6,9,161,25,0.063078
2012,6,10,162,45,0.154324
2012,6,11,163,45,0.300493
2012,6,12,164,59,0.341658
2012,6,16,168,62,0.441920
2012,6,17,169,58,0.485704
2012,6,18,170,43,0.236407
2012,6,19,171,36,0.187331
2012,6,21,173,54,0.425364
2012,6,22,174,66,0.396818
2012,6,23,175,22,0.076910
2012,6,24,176,22,0.126183
2012,6,25,177,37,0.180151
2012,6,26,178,62,0.423105
2012,6,27,179,71,0.323922
2012,6,28,180,33,0.144102
2012,6,29,181,29,0.177317
2012,7,5,187,72,0.479864
2012,7,8,190,11,0.033205
2012,7,9,191,35,0.150208
2012,7,10,192,68,0.365012
2012,7,11,193,47,0.336853
2012,7,12,194,9,0.091861
2012,7,13,195,14,0.050043
2012,7,14,196,77,0.534488
2012,7,16,198,46,0.345993
2012,7,18,200,11,0.075927
2012,7,24,206,62,0.309704
2012,7,25,207,52,0.282356
2012,7,26,208,52,0.248465
2012,7,27,209,33,0.107418
2012,7,29,211,44,0.328887
