#year,month,day,julian_day,pm10,aot1020
2006,6,4,155,70,0.317438
2006,6,7,158,49,0.344795
2006,6,9,160,71,0.472788
2006,6,10,161,76,0.447037
2006,6,11,162,72,0.590758
2006,6,18,169,65,0.495783
2006,6,22,173,65,0.604528
2006,6,23,174,43,0.372488
2006,6,24,175,83,0.679793
2006,6,25,176,52,0.459795
2006,6,26,177,41,0.339269
2006,6,27,178,39,0.337557
2006,7,11,192,45,0.298270
2006,9,14,257,16,0.043941
2006,9,15,258,79,0.331859
2006,9,18,261,29,0.057271
2006,9,20,263,9,0.092740
2006,9,21,264,14,0.042875
2006,9,22,265,15,0.067772
2006,9,23,266,10,0.045048
2006,9,27,270,17,0.047193
2006,9,30,273,20,0.054595
2006,10,1,274,13,0.065136
2006,10,3,276,15,0.023121
2006,10,4,277,11,0.056276
2006,10,5,278,21,0.064021
2006,10,6,279,24,0.072613
2006,10,8,281,39,0.220781
2006,10,10,283,32,0.154545
2006,10,11,284,13,0.032917
2006,10,20,293,20,0.070476
2006,10,22,295,9,0.042970
2006,10,23,296,22,0.055872
2006,10,24,297,20,0.048823
2006,10,25,298,8,0.024840
2006,10,26,299,6,0.014854
2006,10,29,302,28,0.090624
2006,11,2,306,10,0.033189
2006,11,3,307,12,0.035975
2006,11,4,308,6,0.019187
2006,11,6,310,15,0.051000
2006,11,7,311,18,0.050673
2006,11,8,312,15,0.052589
2006,11,9,313,13,0.037799
2006,11,10,314,11,0.013969
2006,11,11,315,11,0.039961
2006,11,12,316,5,0.020848
2006,11,13,317,7,0.019261
2006,11,14,318,11,0.020520
2006,11,15,319,8,0.021888
2006,11,16,320,5,0.028979
2006,11,17,321,7,0.030909
2006,11,18,322,7,0.033445
2006,11,19,323,6,0.017862
2006,11,20,324,13,0.045899
2006,11,21,325,33,0.136973
2006,11,22,326,16,0.045104
2006,11,24,328,16,0.044405
2006,11,25,329,11,0.038029
2006,11,26,330,9,0.022536
2006,11,27,331,6,0.024228
2006,12,2,336,27,0.119872
2006,12,3,337,17,0.074012
2006,12,8,342,30,0.122980
2006,12,10,344,24,0.110258
2006,12,11,345,22,0.072867
2006,12,12,346,22,0.061726
2006,12,13,347,17,0.059580
2006,12,14,348,18,0.074649
2006,12,15,349,14,0.032766
2006,12,18,352,16,0.043728
2006,12,19,353,17,0.083965
2006,12,20,354,19,0.046364
2007,4,4,94,7,0.053245
2007,4,6,96,11,0.069908
2007,4,7,97,16,0.030612
2007,4,8,98,12,0.098408
2007,4,9,99,8,0.021292
2007,4,10,100,13,0.035646
2007,4,11,101,14,0.052517
2007,4,12,102,17,0.038893
2007,4,13,103,14,0.014857
2007,4,15,105,8,0.058733
2007,4,16,106,14,0.077316
2007,4,17,107,33,0.088473
2007,4,18,108,36,0.112130
2007,4,20,110,43,0.211080
2007,4,21,111,47,0.153761
2007,4,22,112,42,0.068780
2007,4,23,113,30,0.107586
2007,4,24,114,23,0.072028
2007,4,25,115,15,0.024382
2007,4,27,117,17,0.053534
2007,4,28,118,18,0.046578
2007,5,10,130,11,0.034502
2007,5,13,133,42,0.142908
2007,5,16,136,56,0.303348
2007,5,17,137,73,0.331782
2007,5,19,139,35,0.176817
2007,5,23,143,18,0.066996
2007,5,24,144,29,0.113297
2007,6,3,154,42,0.217749
2007,6,4,155,23,0.166178
2007,6,13,164,49,0.322078
2007,6,28,179,11,0.075750
2007,7,1,182,65,0.425760
2007,7,2,183,70,0.346375
2007,7,3,184,15,0.016718
2007,7,7,188,46,0.158581
2007,7,11,192,22,0.151455
2007,7,12,193,70,0.440315
2007,7,13,194,78,0.523035
2009,3,14,73,23,0.072302
2009,3,16,75,14,0.017284
2009,3,17,76,22,0.065493
2009,3,18,77,19,0.049463
2009,3,19,78,13,0.047492
2009,3,20,79,16,0.036036
2009,3,21,80,17,0.064056
2009,3,31,90,13,0.061659
2009,4,1,91,25,0.052203
2009,4,5,95,8,0.028319
2009,4,6,96,11,0.026126
2009,4,7,97,13,0.022263
2009,4,8,98,17,0.048235
2009,4,10,100,13,0.075035
2009,4,11,101,16,0.039804
2009,4,12,102,15,0.056792
2009,4,14,104,14,0.049554
2009,4,15,105,17,0.046466
2009,4,16,106,20,0.065975
2009,4,17,107,14,0.049273
2009,4,26,116,16,0.076349
2009,4,28,118,22,0.070149
2009,4,29,119,21,0.105581
2009,5,11,131,17,0.063367
2009,5,13,133,20,0.068643
2009,5,15,135,24,0.090586
2009,5,21,141,19,0.096020
2009,5,24,144,18,0.108165
2009,5,25,145,34,0.109708
2009,5,26,146,44,0.267440
2009,5,27,147,49,0.335214
2009,5,28,148,47,0.329931
2009,5,31,151,17,0.047640
2009,6,1,152,31,0.101949
2009,6,3,154,28,0.104735
2009,6,4,155,16,0.050841
2009,6,5,156,16,0.050199
2009,6,7,158,74,0.317810
2009,6,8,159,78,0.364985
2009,6,9,160,34,0.268256
2009,6,10,161,20,0.148029
2009,6,12,163,23,0.101731
2009,6,13,164,40,0.275082
2009,6,14,165,28,0.157331
2009,6,19,170,20,0.104700
2009,6,20,171,16,0.086436
2009,6,22,173,14,0.065437
2009,6,26,177,111,0.639598
2009,6,27,178,77,0.389152
2009,6,28,179,90,0.391719
2009,6,29,180,51,0.183822
2009,6,30,181,12,0.061778
2009,7,1,182,53,0.124656
2009,7,2,183,58,0.381032
2009,7,7,188,20,0.094804
2009,7,8,189,15,0.072214
2009,7,9,190,33,0.132723
2009,7,10,191,52,0.356183
2009,7,12,193,10,0.056391
2009,7,13,194,45,0.271872
2009,7,16,197,11,0.076145
2009,7,17,198,22,0.164820
2009,7,20,201,32,0.253845
2009,7,23,204,54,0.450840
2010,5,2,122,10.8571,0.0418451429
2010,5,4,124,19.3333,0.0968876667
2010,5,5,125,21.6000,0.0733062000
2010,5,6,126,9.0000,0.0085017500
2010,5,7,127,25.7500,0.0568270000
2010,5,8,128,20.2857,0.0406648571
2010,5,9,129,22.2500,0.0443431250
2010,5,10,130,31.5000,0.0426305000
2010,5,11,131,15.5000,0.0279820000
2010,5,12,132,15.0000,0.1096520000
2010,5,18,138,24.7500,0.0901570000
2010,5,19,139,28.0000,0.0776790000
2010,5,21,141,31.1250,0.0894367500
2010,5,22,142,26.3333,0.1144616667
2010,5,23,143,37.5000,0.1548215000
2010,5,25,145,70.6667,0.3281896667
2010,5,26,146,88.6000,0.3033048000
2010,5,30,150,34.6667,0.0874103333
2010,5,31,151,84.4444,0.5688452222
2010,6,2,153,98.7143,0.6833397143
2010,6,3,154,135.8889,0.6572422222
2010,6,5,156,18.8750,0.0523348750
2010,6,6,157,24.7143,0.0477415714
2010,6,7,158,35.6250,0.0869065000
2010,6,8,159,66.8333,0.2891218333
